Date,Region,Product,Channel,Units Sold,Sales
2022-01-01,North,Electronics,Online,1,246.94
2022-01-01,South,Apparel,In-Store,1,33.17
2022-01-01,South,Sports & Outdoors,Online,1,71.89
2022-01-01,East,Electronics,In-Store,2,399.33
2022-01-01,East,Apparel,Online,1,60.5
2022-01-01,East,Home & Kitchen,Online,1,131.51
2022-01-01,East,Sports & Outdoors,In-Store,4,405.42
2022-01-01,West,Electronics,In-Store,2,746.72
2022-01-01,West,Home & Kitchen,Online,2,53.46
2022-01-01,West,Sports & Outdoors,In-Store,1,22.81
2022-01-02,West,Apparel,Online,1,94.56
2022-01-02,West,Electronics,Online,2,661.27
2022-01-02,East,Sports & Outdoors,In-Store,1,81.32
2022-01-02,East,Apparel,In-Store,2,72.31
2022-01-02,East,Electronics,In-Store,2,885.72
2022-01-02,South,Electronics,In-Store,3,1190.29
2022-01-02,South,Sports & Outdoors,Online,1,35.47
2022-01-02,South,Apparel,Online,1,28.03
2022-01-02,North,Sports & Outdoors,In-Store,1,187.93
2022-01-02,North,Electronics,Online,3,348.15
2022-01-02,South,Beauty,Online,2,75.14
2022-01-03,East,Beauty,Online,1,53.73
2022-01-03,West,Beauty,Online,2,91.61
2022-01-03,West,Home & Kitchen,Online,1,95.6
2022-01-03,West,Apparel,Online,1,88.55
2022-01-03,West,Electronics,In-Store,1,390.63
2022-01-03,East,Apparel,Online,1,29.84
2022-01-03,West,Sports & Outdoors,In-Store,1,129.1
2022-01-03,South,Sports & Outdoors,In-Store,1,133.99
2022-01-03,South,Home & Kitchen,Online,1,130.76
2022-01-03,South,Apparel,Online,1,103.77
2022-01-03,North,Apparel,Online,1,40.3
2022-01-03,North,Electronics,In-Store,1,156.22
2022-01-03,South,Beauty,Online,1,55.97
2022-01-04,West,Apparel,In-Store,2,129.98
2022-01-04,East,Home & Kitchen,Online,3,73.56
2022-01-04,East,Apparel,Online,1,27.71
2022-01-04,East,Electronics,Online,2,883.57
2022-01-04,South,Beauty,Online,1,49.09
2022-01-04,South,Home & Kitchen,In-Store,2,63.77
2022-01-04,East,Sports & Outdoors,Online,2,149.4
2022-01-04,South,Electronics,Online,2,676.74
2022-01-04,North,Beauty,Online,3,69.41
2022-01-04,North,Sports & Outdoors,Online,1,60.21
2022-01-04,North,Home & Kitchen,In-Store,1,67.84
2022-01-04,North,Apparel,Online,1,29.23
2022-01-04,North,Electronics,In-Store,1,215.42
2022-01-04,South,Apparel,In-Store,1,40.93
2022-01-05,West,Beauty,Online,1,23.49
2022-01-05,West,Sports & Outdoors,Online,1,34.84
2022-01-05,East,Beauty,In-Store,1,12.56
2022-01-05,East,Apparel,In-Store,1,19.35
2022-01-05,East,Electronics,Online,1,175.06
2022-01-05,South,Beauty,Online,3,117.16
2022-01-05,North,Home & Kitchen,Online,1,84.31
2022-01-05,North,Apparel,In-Store,1,43.43
2022-01-05,North,Electronics,In-Store,1,237.45
2022-01-06,East,Electronics,In-Store,1,263.55
2022-01-06,West,Sports & Outdoors,Online,3,131.08
2022-01-06,West,Home & Kitchen,Online,1,142.53
2022-01-06,West,Apparel,In-Store,4,144.68
2022-01-06,East,Beauty,In-Store,1,48.62
2022-01-06,East,Apparel,In-Store,4,141.7
2022-01-06,South,Beauty,Online,2,113.64
2022-01-06,East,Sports & Outdoors,In-Store,4,465.23
2022-01-06,South,Apparel,In-Store,2,135.97
2022-01-06,South,Electronics,Online,1,317.69
2022-01-06,South,Sports & Outdoors,Online,1,142.53
2022-01-06,North,Home & Kitchen,In-Store,1,7.89
2022-01-06,North,Apparel,In-Store,3,7.02
2022-01-06,North,Electronics,In-Store,1,318.14
2022-01-07,West,Sports & Outdoors,Online,2,250.78
2022-01-07,West,Apparel,Online,2,214.29
2022-01-07,East,Sports & Outdoors,In-Store,2,114.87
2022-01-07,East,Apparel,Online,4,370.47
2022-01-07,East,Electronics,Online,4,1459.67
2022-01-07,South,Sports & Outdoors,In-Store,1,35.99
2022-01-07,South,Apparel,Online,2,94.15
2022-01-07,South,Electronics,Online,3,879.12
2022-01-07,North,Sports & Outdoors,Online,2,65.09
2022-01-07,North,Home & Kitchen,In-Store,1,112.3
2022-01-07,North,Apparel,Online,2,157.06
2022-01-07,North,Electronics,Online,2,550.47
2022-01-07,South,Home & Kitchen,Online,2,95.51
2022-01-08,East,Electronics,Online,6,603.37
2022-01-08,West,Apparel,In-Store,1,53.97
2022-01-08,West,Electronics,In-Store,4,676.16
2022-01-08,East,Beauty,Online,1,42.52
2022-01-08,East,Home & Kitchen,In-Store,2,285.97
2022-01-08,East,Apparel,Online,1,57.61
2022-01-08,South,Beauty,Online,2,125.59
2022-01-08,North,Electronics,Online,1,173.05
2022-01-08,South,Home & Kitchen,In-Store,2,257.37
2022-01-08,South,Electronics,Online,3,885.67
2022-01-08,South,Sports & Outdoors,Online,1,44.77
2022-01-09,East,Home & Kitchen,In-Store,2,124.53
2022-01-09,West,Home & Kitchen,Online,1,162.46
2022-01-09,West,Beauty,Online,2,96.5
2022-01-09,West,Apparel,Online,2,178.13
2022-01-09,West,Electronics,Online,3,1025.7
2022-01-09,East,Sports & Outdoors,Online,1,138.4
2022-01-09,East,Apparel,In-Store,1,87.15
2022-01-09,North,Apparel,Online,5,130.82
2022-01-09,South,Beauty,Online,1,130.5
2022-01-09,South,Sports & Outdoors,In-Store,2,118.18
2022-01-09,South,Apparel,In-Store,4,372.98
2022-01-09,South,Electronics,Online,3,956.98
2022-01-09,North,Beauty,In-Store,3,209.68
2022-01-09,North,Electronics,In-Store,1,300.86
2022-01-09,East,Electronics,Online,1,370.55
2022-01-10,West,Sports & Outdoors,Online,2,125.96
2022-01-10,West,Home & Kitchen,Online,1,116.42
2022-01-10,West,Apparel,In-Store,1,128.55
2022-01-10,West,Electronics,In-Store,1,381.47
2022-01-10,East,Sports & Outdoors,Online,5,581.37
2022-01-10,East,Home & Kitchen,In-Store,3,324.63
2022-01-10,East,Apparel,Online,1,84.68
2022-01-10,East,Electronics,In-Store,2,754.43
2022-01-10,South,Sports & Outdoors,Online,1,11.64
2022-01-10,South,Apparel,Online,2,139.8
2022-01-10,South,Electronics,Online,1,223.47
2022-01-10,North,Sports & Outdoors,Online,3,127.52
2022-01-10,North,Electronics,Online,2,806.74
2022-01-10,South,Beauty,Online,1,19.27
2022-01-11,East,Electronics,Online,2,648.57
2022-01-11,West,Home & Kitchen,Online,1,161.02
2022-01-11,West,Apparel,In-Store,2,100.55
2022-01-11,East,Beauty,In-Store,1,70.13
2022-01-11,East,Sports & Outdoors,Online,1,125.97
2022-01-11,East,Home & Kitchen,Online,6,907.26
2022-01-11,East,Apparel,Online,3,224.21
2022-01-11,South,Beauty,Online,3,8.71
